housing,contact,month,duration,poutcome,y
yes,unknown,may,211,unknown,1
yes,unknown,may,192,unknown,1
yes,unknown,may,203,unknown,1
yes,unknown,may,24,unknown,1
yes,unknown,may,171,unknown,1
yes,unknown,may,136,unknown,1
yes,unknown,may,42,unknown,1
yes,unknown,may,343,unknown,1
yes,unknown,may,111,unknown,1
yes,unknown,may,77,unknown,1
yes,unknown,may,268,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,360,unknown,1
yes,unknown,may,122,unknown,1
yes,unknown,may,47,unknown,1
yes,unknown,may,241,unknown,1
yes,unknown,may,204,unknown,1
yes,unknown,may,601,unknown,1
yes,unknown,may,178,unknown,1
yes,unknown,may,306,unknown,1
yes,unknown,may,410,unknown,1
yes,unknown,may,265,unknown,1
yes,unknown,may,108,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,184,unknown,1
yes,unknown,may,424,unknown,1
yes,unknown,may,359,unknown,1
yes,unknown,may,123,unknown,1
yes,unknown,may,169,unknown,1
yes,unknown,may,787,unknown,2
yes,unknown,may,241,unknown,1
no,unknown,may,141,unknown,1
yes,unknown,may,22,unknown,1
yes,unknown,may,326,unknown,1
no,unknown,may,317,unknown,1
yes,unknown,may,196,unknown,1
yes,unknown,may,270,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,679,unknown,1
yes,unknown,may,576,unknown,1
no,unknown,may,102,unknown,1
no,unknown,may,161,unknown,1
yes,unknown,may,206,unknown,1
yes,unknown,may,33,unknown,1
yes,unknown,may,619,unknown,2
yes,unknown,may,230,unknown,1
yes,unknown,may,27,unknown,1
yes,unknown,may,131,unknown,1
yes,unknown,may,38,unknown,1
yes,unknown,may,322,unknown,1
yes,unknown,may,187,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,379,unknown,1
yes,unknown,may,1230,unknown,2
yes,unknown,may,767,unknown,2
yes,unknown,may,95,unknown,1
yes,unknown,may,42,unknown,1
yes,unknown,may,197,unknown,1
yes,unknown,may,320,unknown,1
yes,unknown,may,912,unknown,2
no,unknown,may,178,unknown,1
no,unknown,may,230,unknown,1
yes,unknown,may,631,unknown,1
yes,unknown,may,489,unknown,1
yes,unknown,may,894,unknown,2
yes,unknown,may,38,unknown,1
yes,unknown,may,323,unknown,1
yes,unknown,may,335,unknown,1
yes,unknown,may,161,unknown,1
yes,unknown,may,410,unknown,1
yes,unknown,may,374,unknown,1
no,unknown,may,280,unknown,1
yes,unknown,may,181,unknown,1
no,unknown,may,193,unknown,1
yes,unknown,may,166,unknown,1
yes,unknown,may,865,unknown,1
yes,unknown,may,258,unknown,1
no,unknown,may,215,unknown,1
no,unknown,may,136,unknown,1
yes,unknown,may,381,unknown,1
yes,unknown,may,412,unknown,1
yes,unknown,may,376,unknown,1
yes,unknown,may,393,unknown,1
yes,unknown,may,56,unknown,1
no,unknown,may,112,unknown,1
yes,unknown,may,155,unknown,1
yes,unknown,may,703,unknown,1
no,unknown,may,141,unknown,1
yes,unknown,may,475,unknown,1
yes,unknown,may,471,unknown,1
yes,unknown,may,121,unknown,1
yes,unknown,may,159,unknown,1
yes,unknown,may,177,unknown,1
yes,unknown,may,344,unknown,1
yes,unknown,may,404,unknown,1
yes,unknown,may,287,unknown,1
yes,unknown,may,329,unknown,1
yes,unknown,may,433,unknown,1
yes,unknown,may,216,unknown,1
yes,unknown,may,323,unknown,1
yes,unknown,may,1340,unknown,2
no,unknown,may,132,unknown,1
yes,unknown,may,199,unknown,1
yes,unknown,may,558,unknown,1
yes,unknown,may,221,unknown,1
yes,unknown,may,897,unknown,2
yes,unknown,may,80,unknown,1
yes,unknown,may,90,unknown,1
yes,unknown,may,123,unknown,1
yes,unknown,may,461,unknown,1
yes,unknown,may,213,unknown,1
yes,unknown,may,193,unknown,1
yes,unknown,may,428,unknown,1
yes,unknown,may,411,unknown,1
yes,unknown,may,291,unknown,1
no,unknown,may,136,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,270,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,214,unknown,1
no,unknown,may,239,unknown,1
yes,unknown,may,323,unknown,1
yes,unknown,may,94,unknown,1
yes,unknown,may,74,unknown,1
yes,unknown,may,107,unknown,1
no,unknown,may,51,unknown,1
yes,unknown,may,109,unknown,1
yes,unknown,may,378,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,136,unknown,1
yes,unknown,may,1161,unknown,1
yes,unknown,may,103,unknown,1
yes,unknown,may,467,unknown,1
yes,unknown,may,290,unknown,1
yes,unknown,may,131,unknown,1
yes,unknown,may,168,unknown,1
yes,unknown,may,764,unknown,1
yes,unknown,may,194,unknown,1
no,unknown,may,16,unknown,1
yes,unknown,may,208,unknown,1
yes,unknown,may,148,unknown,1
yes,unknown,may,242,unknown,1
yes,unknown,may,269,unknown,1
yes,unknown,may,370,unknown,1
yes,unknown,may,274,unknown,1
yes,unknown,may,326,unknown,1
yes,unknown,may,337,unknown,1
yes,unknown,may,788,unknown,1
yes,unknown,may,353,unknown,1
yes,unknown,may,14,unknown,1
yes,unknown,may,92,unknown,1
yes,unknown,may,698,unknown,1
yes,unknown,may,180,unknown,1
yes,unknown,may,467,unknown,1
no,unknown,may,218,unknown,1
yes,unknown,may,233,unknown,1
yes,unknown,may,304,unknown,1
yes,unknown,may,315,unknown,1
yes,unknown,may,40,unknown,1
yes,unknown,may,698,unknown,1
yes,unknown,may,76,unknown,1
yes,unknown,may,355,unknown,1
yes,unknown,may,557,unknown,1
yes,unknown,may,97,unknown,1
yes,unknown,may,148,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,130,unknown,1
yes,unknown,may,280,unknown,1
yes,unknown,may,152,unknown,1
no,unknown,may,283,unknown,1
no,unknown,may,523,unknown,1
yes,unknown,may,1128,unknown,1
yes,unknown,may,171,unknown,1
no,unknown,may,174,unknown,1
yes,unknown,may,71,unknown,1
yes,unknown,may,84,unknown,1
yes,unknown,may,221,unknown,1
no,unknown,may,234,unknown,1
yes,unknown,may,138,unknown,1
yes,unknown,may,339,unknown,1
yes,unknown,may,509,unknown,1
yes,unknown,may,254,unknown,1
yes,unknown,may,164,unknown,1
yes,unknown,may,243,unknown,1
yes,unknown,may,344,unknown,1
yes,unknown,may,131,unknown,1
no,unknown,may,806,unknown,1
yes,unknown,may,251,unknown,1
yes,unknown,may,1135,unknown,1
yes,unknown,may,312,unknown,1
no,unknown,may,302,unknown,1
yes,unknown,may,292,unknown,1
yes,unknown,may,279,unknown,1
yes,unknown,may,187,unknown,1
yes,unknown,may,198,unknown,1
yes,unknown,may,1408,unknown,1
yes,unknown,may,827,unknown,1
yes,unknown,may,303,unknown,1
yes,unknown,may,67,unknown,1
yes,unknown,may,680,unknown,1
yes,unknown,may,160,unknown,1
yes,unknown,may,251,unknown,1
yes,unknown,may,21,unknown,1
yes,unknown,may,218,unknown,1
yes,unknown,may,81,unknown,1
no,unknown,may,476,unknown,1
yes,unknown,may,1297,unknown,2
yes,unknown,may,4,unknown,1
yes,unknown,may,283,unknown,1
yes,unknown,may,323,unknown,1
yes,unknown,may,248,unknown,1
yes,unknown,may,541,unknown,1
yes,unknown,may,427,unknown,1
yes,unknown,may,148,unknown,1
yes,unknown,may,408,unknown,1
yes,unknown,may,236,unknown,1
yes,unknown,may,428,unknown,1
yes,unknown,may,32,unknown,1
yes,unknown,may,330,unknown,1
yes,unknown,may,851,unknown,1
yes,unknown,may,522,unknown,1
yes,unknown,may,320,unknown,1
yes,unknown,may,165,unknown,1
yes,unknown,may,1193,unknown,2
yes,unknown,may,730,unknown,1
yes,unknown,may,1144,unknown,1
yes,unknown,may,167,unknown,1
yes,unknown,may,1023,unknown,1
yes,unknown,may,469,unknown,1
yes,unknown,may,385,unknown,1
yes,unknown,may,260,unknown,1
yes,unknown,may,169,unknown,1
no,unknown,may,409,unknown,1
yes,unknown,may,165,unknown,1
yes,unknown,may,437,unknown,1
yes,unknown,may,89,unknown,1
no,unknown,may,261,unknown,1
yes,unknown,may,294,unknown,1
yes,unknown,may,343,unknown,1
yes,unknown,may,1245,unknown,1
yes,unknown,may,498,unknown,1
yes,unknown,may,148,unknown,1
yes,unknown,may,134,unknown,1
yes,unknown,may,230,unknown,1
yes,unknown,may,192,unknown,1
yes,unknown,may,65,unknown,1
yes,unknown,may,237,unknown,1
yes,unknown,may,239,unknown,1
yes,unknown,may,196,unknown,1
no,unknown,may,243,unknown,1
yes,unknown,may,393,unknown,1
yes,unknown,may,512,unknown,1
yes,unknown,may,218,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,186,unknown,1
yes,unknown,may,299,unknown,1
no,unknown,may,107,unknown,1
yes,unknown,may,103,unknown,1
no,unknown,may,297,unknown,1
yes,unknown,may,1064,unknown,2
yes,unknown,may,24,unknown,1
no,unknown,may,757,unknown,1
yes,unknown,may,90,unknown,1
yes,unknown,may,59,unknown,1
yes,unknown,may,102,unknown,1
yes,unknown,may,293,unknown,1
yes,unknown,may,1187,unknown,2
yes,unknown,may,427,unknown,1
yes,unknown,may,65,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,145,unknown,1
yes,unknown,may,39,unknown,1
yes,unknown,may,105,unknown,1
yes,unknown,may,311,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,62,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,171,unknown,1
yes,unknown,may,134,unknown,1
no,unknown,may,594,unknown,1
yes,unknown,may,55,unknown,1
yes,unknown,may,66,unknown,1
yes,unknown,may,92,unknown,1
no,unknown,may,19,unknown,1
yes,unknown,may,501,unknown,1
yes,unknown,may,114,unknown,1
yes,unknown,may,221,unknown,1
yes,unknown,may,221,unknown,1
yes,unknown,may,374,unknown,1
yes,unknown,may,123,unknown,1
no,unknown,may,166,unknown,1
yes,unknown,may,37,unknown,1
yes,unknown,may,35,unknown,1
yes,unknown,may,668,unknown,1
yes,unknown,may,88,unknown,1
no,unknown,may,77,unknown,1
no,unknown,may,312,unknown,1
yes,unknown,may,181,unknown,1
no,unknown,may,134,unknown,1
yes,unknown,may,61,unknown,1
yes,unknown,may,258,unknown,1
no,unknown,may,131,unknown,1
yes,unknown,may,71,unknown,1
no,unknown,may,153,unknown,1
yes,unknown,may,405,unknown,1
yes,unknown,may,256,unknown,1
yes,unknown,may,131,unknown,1
yes,unknown,may,219,unknown,1
yes,unknown,may,468,unknown,1
no,unknown,may,326,unknown,1
yes,unknown,may,412,unknown,1
yes,unknown,may,579,unknown,1
yes,unknown,may,277,unknown,1
yes,unknown,may,316,unknown,1
yes,unknown,may,882,unknown,2
yes,unknown,may,380,unknown,1
yes,unknown,may,169,unknown,1
yes,unknown,may,127,unknown,1
yes,unknown,may,122,unknown,1
yes,unknown,may,83,unknown,1
yes,unknown,may,318,unknown,1
yes,unknown,may,29,unknown,1
yes,unknown,may,218,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,130,unknown,1
yes,unknown,may,429,unknown,1
yes,unknown,may,27,unknown,1
yes,unknown,may,546,unknown,1
yes,unknown,may,343,unknown,1
yes,unknown,may,95,unknown,1
yes,unknown,may,156,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,351,unknown,1
yes,unknown,may,198,unknown,1
yes,unknown,may,165,unknown,1
yes,unknown,may,134,unknown,1
yes,unknown,may,268,unknown,1
yes,unknown,may,298,unknown,1
yes,unknown,may,63,unknown,1
no,unknown,may,455,unknown,1
yes,unknown,may,188,unknown,1
yes,unknown,may,241,unknown,1
yes,unknown,may,201,unknown,1
yes,unknown,may,27,unknown,1
yes,unknown,may,206,unknown,1
yes,unknown,may,68,unknown,1
yes,unknown,may,82,unknown,1
yes,unknown,may,97,unknown,1
yes,unknown,may,138,unknown,1
yes,unknown,may,285,unknown,1
yes,unknown,may,135,unknown,1
no,unknown,may,268,unknown,1
yes,unknown,may,267,unknown,1
yes,unknown,may,382,unknown,1
yes,unknown,may,208,unknown,1
yes,unknown,may,259,unknown,1
yes,unknown,may,18,unknown,1
yes,unknown,may,234,unknown,1
yes,unknown,may,792,unknown,1
yes,unknown,may,95,unknown,1
yes,unknown,may,943,unknown,2
yes,unknown,may,352,unknown,1
no,unknown,may,798,unknown,1
yes,unknown,may,84,unknown,1
yes,unknown,may,100,unknown,1
yes,unknown,may,85,unknown,1
yes,unknown,may,143,unknown,1
no,unknown,may,115,unknown,1
yes,unknown,may,73,unknown,1
yes,unknown,may,31,unknown,1
yes,unknown,may,182,unknown,1
no,unknown,may,190,unknown,1
yes,unknown,may,351,unknown,1
no,unknown,may,179,unknown,1
no,unknown,may,107,unknown,1
no,unknown,may,529,unknown,1
yes,unknown,may,36,unknown,1
yes,unknown,may,122,unknown,1
no,unknown,may,198,unknown,1
yes,unknown,may,67,unknown,1
yes,unknown,may,264,unknown,1
yes,unknown,may,238,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,21,unknown,1
yes,unknown,may,81,unknown,1
yes,unknown,may,496,unknown,1
yes,unknown,may,78,unknown,1
no,unknown,may,114,unknown,1
yes,unknown,may,156,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,265,unknown,1
yes,unknown,may,48,unknown,1
yes,unknown,may,104,unknown,1
yes,unknown,may,610,unknown,1
yes,unknown,may,287,unknown,1
yes,unknown,may,68,unknown,1
yes,unknown,may,336,unknown,1
yes,unknown,may,202,unknown,1
yes,unknown,may,228,unknown,1
yes,unknown,may,192,unknown,1
yes,unknown,may,343,unknown,1
yes,unknown,may,23,unknown,1
no,unknown,may,260,unknown,1
yes,unknown,may,387,unknown,1
yes,unknown,may,70,unknown,1
yes,unknown,may,158,unknown,1
no,unknown,may,35,unknown,1
yes,unknown,may,145,unknown,1
yes,unknown,may,257,unknown,1
yes,unknown,may,607,unknown,2
yes,unknown,may,214,unknown,1
yes,unknown,may,127,unknown,1
yes,unknown,may,260,unknown,1
no,unknown,may,197,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,222,unknown,1
yes,unknown,may,136,unknown,1
yes,unknown,may,546,unknown,1
yes,unknown,may,49,unknown,1
yes,unknown,may,335,unknown,1
yes,unknown,may,105,unknown,1
yes,unknown,may,488,unknown,1
yes,unknown,may,1203,unknown,1
yes,unknown,may,1022,unknown,2
yes,unknown,may,128,unknown,1
yes,unknown,may,126,unknown,1
yes,unknown,may,387,unknown,1
yes,unknown,may,258,unknown,1
yes,unknown,may,199,unknown,1
yes,unknown,may,364,unknown,1
yes,unknown,may,123,unknown,1
yes,unknown,may,201,unknown,1
yes,unknown,may,193,unknown,1
yes,unknown,may,159,unknown,1
yes,unknown,may,131,unknown,1
yes,unknown,may,166,unknown,1
yes,unknown,may,480,unknown,1
yes,unknown,may,149,unknown,1
yes,unknown,may,110,unknown,1
yes,unknown,may,396,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,163,unknown,1
yes,unknown,may,13,unknown,1
yes,unknown,may,259,unknown,1
yes,unknown,may,162,unknown,1
no,unknown,may,102,unknown,1
yes,unknown,may,723,unknown,1
yes,unknown,may,89,unknown,1
no,unknown,may,703,unknown,1
yes,unknown,may,257,unknown,1
yes,unknown,may,289,unknown,1
yes,unknown,may,361,unknown,1
no,unknown,may,314,unknown,1
yes,unknown,may,83,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,115,unknown,1
yes,unknown,may,147,unknown,1
yes,unknown,may,285,unknown,1
yes,unknown,may,102,unknown,1
yes,unknown,may,183,unknown,1
yes,unknown,may,70,unknown,1
yes,unknown,may,19,unknown,1
yes,unknown,may,346,unknown,1
yes,unknown,may,643,unknown,1
yes,unknown,may,78,unknown,1
yes,unknown,may,411,unknown,1
yes,unknown,may,133,unknown,1
no,unknown,may,193,unknown,1
yes,unknown,may,590,unknown,1
yes,unknown,may,151,unknown,1
yes,unknown,may,109,unknown,1
yes,unknown,may,263,unknown,1
no,unknown,may,103,unknown,1
yes,unknown,may,333,unknown,1
yes,unknown,may,104,unknown,1
yes,unknown,may,191,unknown,1
yes,unknown,may,571,unknown,1
yes,unknown,may,180,unknown,1
yes,unknown,may,657,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,335,unknown,1
yes,unknown,may,120,unknown,1
yes,unknown,may,219,unknown,1
yes,unknown,may,148,unknown,1
yes,unknown,may,214,unknown,1
yes,unknown,may,400,unknown,1
yes,unknown,may,503,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,329,unknown,1
yes,unknown,may,194,unknown,1
yes,unknown,may,7,unknown,1
yes,unknown,may,53,unknown,1
yes,unknown,may,344,unknown,1
yes,unknown,may,104,unknown,1
yes,unknown,may,552,unknown,2
yes,unknown,may,345,unknown,1
yes,unknown,may,263,unknown,1
yes,unknown,may,88,unknown,1
yes,unknown,may,44,unknown,1
yes,unknown,may,401,unknown,1
yes,unknown,may,178,unknown,1
yes,unknown,may,53,unknown,1
yes,unknown,may,349,unknown,1
yes,unknown,may,34,unknown,1
yes,unknown,may,48,unknown,1
no,unknown,may,182,unknown,1
yes,unknown,may,147,unknown,1
yes,unknown,may,457,unknown,1
no,unknown,may,193,unknown,1
yes,unknown,may,142,unknown,1
yes,unknown,may,123,unknown,1
yes,unknown,may,65,unknown,1
yes,unknown,may,420,unknown,1
yes,unknown,may,100,unknown,1
yes,unknown,may,403,unknown,1
yes,unknown,may,229,unknown,1
yes,unknown,may,445,unknown,1
yes,unknown,may,206,unknown,1
yes,unknown,may,182,unknown,1
no,unknown,may,183,unknown,1
yes,unknown,may,140,unknown,1
yes,unknown,may,134,unknown,1
yes,unknown,may,88,unknown,1
yes,unknown,may,234,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,194,unknown,1
yes,unknown,may,394,unknown,1
yes,unknown,may,5,unknown,1
yes,unknown,may,408,unknown,1
yes,unknown,may,114,unknown,1
yes,unknown,may,210,unknown,1
yes,unknown,may,243,unknown,1
yes,unknown,may,180,unknown,1
yes,unknown,may,8,unknown,1
yes,unknown,may,458,unknown,1
yes,unknown,may,313,unknown,1
yes,unknown,may,1622,unknown,2
yes,unknown,may,324,unknown,1
yes,unknown,may,205,unknown,1
no,unknown,may,310,unknown,1
yes,unknown,may,194,unknown,1
yes,unknown,may,165,unknown,1
yes,unknown,may,86,unknown,1
yes,unknown,may,160,unknown,1
yes,unknown,may,492,unknown,1
yes,unknown,may,187,unknown,1
yes,unknown,may,197,unknown,1
no,unknown,may,95,unknown,1
no,unknown,may,159,unknown,1
yes,unknown,may,967,unknown,2
yes,unknown,may,221,unknown,1
yes,unknown,may,102,unknown,1
yes,unknown,may,579,unknown,2
yes,unknown,may,124,unknown,1
no,unknown,may,158,unknown,1
yes,unknown,may,162,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,51,unknown,1
yes,unknown,may,173,unknown,1
yes,unknown,may,220,unknown,1
yes,unknown,may,110,unknown,1
yes,unknown,may,99,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,168,unknown,1
yes,unknown,may,283,unknown,1
yes,unknown,may,235,unknown,1
yes,unknown,may,138,unknown,1
yes,unknown,may,374,unknown,1
yes,unknown,may,353,unknown,1
yes,unknown,may,147,unknown,1
yes,unknown,may,332,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,571,unknown,1
yes,unknown,may,492,unknown,1
yes,unknown,may,265,unknown,1
yes,unknown,may,360,unknown,1
yes,unknown,may,175,unknown,1
yes,unknown,may,97,unknown,1
yes,unknown,may,84,unknown,1
yes,unknown,may,57,unknown,1
no,unknown,may,105,unknown,1
yes,unknown,may,886,unknown,1
yes,unknown,may,182,unknown,1
yes,unknown,may,467,unknown,1
yes,unknown,may,18,unknown,1
yes,unknown,may,21,unknown,1
yes,unknown,may,470,unknown,1
yes,unknown,may,85,unknown,1
yes,unknown,may,243,unknown,1
yes,unknown,may,120,unknown,1
yes,unknown,may,298,unknown,1
yes,unknown,may,249,unknown,1
yes,unknown,may,87,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,44,unknown,1
yes,unknown,may,622,unknown,1
yes,unknown,may,182,unknown,1
no,unknown,may,195,unknown,1
no,unknown,may,179,unknown,1
yes,unknown,may,58,unknown,1
yes,unknown,may,1218,unknown,2
yes,unknown,may,500,unknown,1
yes,unknown,may,66,unknown,1
yes,unknown,may,248,unknown,1
yes,unknown,may,110,unknown,1
yes,unknown,may,3078,unknown,1
yes,unknown,may,21,unknown,1
yes,unknown,may,150,unknown,1
no,unknown,may,148,unknown,1
yes,unknown,may,91,unknown,1
yes,unknown,may,34,unknown,1
yes,unknown,may,201,unknown,1
yes,unknown,may,70,unknown,1
yes,unknown,may,19,unknown,1
yes,unknown,may,351,unknown,1
no,unknown,may,182,unknown,1
yes,unknown,may,365,unknown,1
yes,unknown,may,257,unknown,1
yes,unknown,may,280,unknown,1
yes,unknown,may,16,unknown,1
yes,unknown,may,140,unknown,1
yes,unknown,may,21,unknown,1
yes,unknown,may,184,unknown,1
yes,unknown,may,20,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,446,unknown,2
no,unknown,may,661,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,280,unknown,1
yes,unknown,may,216,unknown,1
yes,unknown,may,81,unknown,1
yes,unknown,may,409,unknown,1
yes,unknown,may,226,unknown,1
yes,unknown,may,191,unknown,1
yes,unknown,may,171,unknown,1
yes,unknown,may,13,unknown,1
yes,unknown,may,133,unknown,1
yes,unknown,may,656,unknown,1
yes,unknown,may,1205,unknown,2
yes,unknown,may,202,unknown,1
yes,unknown,may,205,unknown,1
yes,unknown,may,206,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,186,unknown,1
yes,unknown,may,532,unknown,1
yes,unknown,may,97,unknown,1
no,unknown,may,234,unknown,1
yes,unknown,may,328,unknown,1
yes,unknown,may,297,unknown,1
yes,unknown,may,1882,unknown,2
yes,unknown,may,243,unknown,1
yes,unknown,may,81,unknown,1
yes,unknown,may,142,unknown,1
yes,unknown,may,1334,unknown,2
yes,unknown,may,775,unknown,1
yes,unknown,may,335,unknown,1
yes,unknown,may,168,unknown,1
yes,unknown,may,68,unknown,1
yes,unknown,may,121,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,68,unknown,1
yes,unknown,may,119,unknown,1
yes,unknown,may,160,unknown,1
yes,unknown,may,294,unknown,1
yes,unknown,may,57,unknown,1
yes,unknown,may,90,unknown,1
yes,unknown,may,600,unknown,1
yes,unknown,may,148,unknown,1
no,unknown,may,38,unknown,1
yes,unknown,may,142,unknown,1
yes,unknown,may,466,unknown,1
yes,unknown,may,26,unknown,1
yes,unknown,may,203,unknown,1
yes,unknown,may,369,unknown,1
yes,unknown,may,29,unknown,1
yes,unknown,may,793,unknown,1
yes,unknown,may,71,unknown,1
yes,unknown,may,182,unknown,2
yes,unknown,may,203,unknown,1
yes,unknown,may,167,unknown,1
yes,unknown,may,37,unknown,1
yes,unknown,may,34,unknown,1
yes,unknown,may,394,unknown,1
yes,unknown,may,127,unknown,1
yes,unknown,may,264,unknown,1
yes,unknown,may,265,unknown,1
yes,unknown,may,231,unknown,1
yes,unknown,may,320,unknown,1
yes,unknown,may,101,unknown,1
yes,unknown,may,110,unknown,1
yes,unknown,may,121,unknown,1
no,unknown,may,265,unknown,1
yes,unknown,may,345,unknown,1
yes,unknown,may,171,unknown,1
no,unknown,may,572,unknown,1
yes,unknown,may,67,unknown,1
yes,unknown,may,25,unknown,1
yes,unknown,may,269,unknown,1
yes,unknown,may,132,unknown,1
yes,unknown,may,115,unknown,1
yes,unknown,may,273,unknown,1
no,unknown,may,56,unknown,1
yes,unknown,may,434,unknown,1
yes,unknown,may,507,unknown,1
yes,unknown,may,253,unknown,1
yes,unknown,may,100,unknown,1
yes,unknown,may,116,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,66,unknown,1
yes,unknown,may,233,unknown,1
yes,unknown,may,90,unknown,1
yes,unknown,may,104,unknown,1
yes,unknown,may,187,unknown,1
yes,unknown,may,92,unknown,1
no,unknown,may,423,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,209,unknown,1
yes,unknown,may,181,unknown,1
yes,unknown,may,201,unknown,1
yes,unknown,may,40,unknown,1
no,unknown,may,317,unknown,1
yes,unknown,may,447,unknown,1
yes,unknown,may,137,unknown,1
yes,unknown,may,184,unknown,1
yes,unknown,may,121,unknown,1
yes,unknown,may,138,unknown,1
yes,unknown,may,207,unknown,1
yes,unknown,may,309,unknown,1
yes,unknown,may,214,unknown,1
yes,unknown,may,134,unknown,1
yes,unknown,may,284,unknown,1
yes,unknown,may,1777,unknown,2
yes,unknown,may,774,unknown,1
yes,unknown,may,265,unknown,1
yes,unknown,may,62,unknown,1
yes,unknown,may,247,unknown,1
yes,unknown,may,89,unknown,1
yes,unknown,may,318,unknown,1
yes,unknown,may,277,unknown,1
yes,unknown,may,135,unknown,1
yes,unknown,may,126,unknown,1
yes,unknown,may,411,unknown,1
yes,unknown,may,85,unknown,1
no,unknown,may,100,unknown,1
yes,unknown,may,83,unknown,1
yes,unknown,may,71,unknown,1
no,unknown,may,199,unknown,1
yes,unknown,may,47,unknown,1
yes,unknown,may,253,unknown,1
yes,unknown,may,244,unknown,1
yes,unknown,may,224,unknown,1
yes,unknown,may,56,unknown,1
yes,unknown,may,638,unknown,1
yes,unknown,may,311,unknown,1
no,unknown,may,77,unknown,1
yes,unknown,may,177,unknown,1
yes,unknown,may,189,unknown,1
yes,unknown,may,152,unknown,1
yes,unknown,may,151,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,24,unknown,1
yes,unknown,may,212,unknown,1
yes,unknown,may,163,unknown,1
yes,unknown,may,473,unknown,1
yes,unknown,may,68,unknown,1
yes,unknown,may,485,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,77,unknown,1
yes,unknown,may,396,unknown,1
yes,unknown,may,274,unknown,1
yes,unknown,may,88,unknown,1
yes,unknown,may,129,unknown,1
yes,unknown,may,474,unknown,1
yes,unknown,may,268,unknown,1
yes,unknown,may,374,unknown,1
yes,unknown,may,72,unknown,1
yes,unknown,may,61,unknown,1
yes,unknown,may,205,unknown,1
yes,unknown,may,347,unknown,1
yes,unknown,may,355,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,211,unknown,1
no,unknown,may,66,unknown,1
yes,unknown,may,1452,unknown,1
yes,unknown,may,341,unknown,1
no,unknown,may,14,unknown,1
yes,unknown,may,610,unknown,1
yes,unknown,may,120,unknown,1
yes,unknown,may,407,unknown,1
yes,unknown,may,464,unknown,1
yes,unknown,may,547,unknown,1
yes,unknown,may,152,unknown,1
yes,unknown,may,522,unknown,1
yes,unknown,may,227,unknown,1
yes,unknown,may,1376,unknown,1
no,unknown,may,134,unknown,1
no,unknown,may,37,unknown,1
yes,unknown,may,360,unknown,1
yes,unknown,may,51,unknown,1
no,unknown,may,834,unknown,1
yes,unknown,may,106,unknown,1
yes,unknown,may,194,unknown,1
yes,unknown,may,535,unknown,1
yes,unknown,may,236,unknown,1
yes,unknown,may,182,unknown,1
yes,unknown,may,296,unknown,1
yes,unknown,may,201,unknown,1
yes,unknown,may,281,unknown,1
yes,unknown,may,150,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,359,unknown,1
yes,unknown,may,332,unknown,1
yes,unknown,may,592,unknown,1
yes,unknown,may,166,unknown,1
yes,unknown,may,245,unknown,1
yes,unknown,may,138,unknown,1
yes,unknown,may,369,unknown,1
yes,unknown,may,158,unknown,1
no,unknown,may,261,unknown,1
no,unknown,may,131,unknown,1
yes,unknown,may,412,unknown,1
no,unknown,may,121,unknown,1
yes,unknown,may,137,unknown,1
